"name","race"
"Sméagol","Hobbit"
"Déagol","Hobbit"
"Meneldil","Man"
"Ilmarë","Ainur"
"Salmar","Ainur"
"Thorondor","Ainur"
"Great","Ainur"
"Gwaihir","Ainur"
"Landroval","Ainur"
"Mahtan","Elf"
"Guilin","Elf"
"Gwindor","Elf"
"Gelmir","Elf"
"Círdan","Elf"
"Lalia","Hobbit"
"Asphodel","Hobbit"
"Rufus","Hobbit"
"Gundahad","Hobbit"
"Amaranth","Hobbit"
"Saradas","Hobbit"
"Seredic","Hobbit"
"Hilda","Hobbit"
"Doderic","Hobbit"
"Ilberic","Hobbit"
"Celandine","Hobbit"
"Dodinas","Hobbit"
"Dinodas","Hobbit"
"Theobald","Hobbit"
"Nina","Hobbit"
"Wilibald","Hobbit"
"Prisca","Hobbit"
"Wilimar","Hobbit"
"Heribald","Hobbit"
"Nora","Hobbit"
"Ruby","Hobbit"
"Marroc","Hobbit"
"Tosto","Hobbit"
"Elfstan","Hobbit"
"Fíriel","Hobbit"
"Beorn","Man"
"Bombur","Dwarf"
"Bofur","Dwarf"
"Bifur","Dwarf"
"Aerandir","Elf"
"Erellont","Elf"
"Falathar","Elf"
"Ailinel","Man"
"Almiel","Man"
"Soronto","Man"
"Orchaldor","Man"
"Hatholdir","Man"
"Núneth","Man"
"Amdí­r","Elf"
"Amroth","Elf"
"Nimrodel","Elf"
"Anborn","Man"
"Andróg","Man"
"Andví­r","Man"
"Angbor","Man"
"Asgon","Man"
"Dúnhere","Man"
"Guthláf","Man"
"Gálmód","Man"
"Gríma","Man"
"Gárulf","Man"
"Grimbold","Man"
"Grim","Man"
"Gamling","Man"
"Gléowine","Man"
"Erkenbrand","Man"
"Ceorl","Man"
"Háma","Man"
"Horn","Man"
"Éothain","Man"
"Beleg","Elf"
"Mablung","Elf"
"Mablung","Man"
"Damrod","Man"
"Calimehtar","Man"
"Castamir","Man"
"Rúmil","Elf"
"Eltas","Elf"
"Gilfanon","Elf"
"Salgant","Elf"
"Urthel","Man"
"Ulfang","Man"
"Ulfast","Man"
"Ulwarth","Man"
"Uldor","Man"
"Lenwë","Elf"
"Denethor","Elf"
"Galion","Elf"
"Gorlim","Man"
"Eilinel","Man"
"Angrim","Man"
"Dagnir","Man"
"Radhruin","Man"
"Dairuin","Man"
"Arthad","Man"
"Hathaldir","Man"
"Lindir","Elf"
"Erestor","Elf"
"Halbarad","Man"
"Duinhir","Man"
"Duilin","Man"
"Derufin","Man"
"Forlong","Man"
"Hirluin","Man"
"Golasgil","Man"
"Beregond","Man"
"Baranor","Man"
"Bergil","Man"
"Borlas","Man"
"Berelach","Man"
"Ioreth","Man"
"Hirgon","Man"
"Ingold","Man"
"Findegil","Man"
"Targon","Man"
"Húrin","Man"
"Ulbar","Man"
"Îbal","Man"
"Fíriel","Man"
"Orontor","Man"
"Henderch","Man"
"Egalmoth","Elf"
"Galdor","Elf"
"Ecthelion","Elf"
"Duilin","Elf"
"Penlod","Elf"
"Rog","Elf"
"Aranwë","Elf"
"Voronwë","Elf"
"Elemmakil","Elf"
"Hendor","Elf"
"Legolas","Elf"
"Pengolodh","Elf"
"Brandir","Man"
"Dorlas","Man"
"Avranc","Man"
"Wídfara","Man"
"Sangahyando","Man"
"Angamaitë","Man"
"Ori","Dwarf"
"Nori","Dwarf"
"Dori","Dwarf"
"Meneldor","Ainur"
"Witch-king","Man"
"Herumor","Man"
"Fuinur","Man"
"Berenhardt","Man"
"Indor","Man"
"Aerin","Man"
"Brodda","Man"
"Annael","Elf"
"Gelmir","Elf"
"Arminas","Elf"
"Gildor","Man"
